step	t	dt	radius	area	distances	eccentricity	vacuole_num	vacuole_areas	Pmin	Pmax	Rmin	Rmax	Rtotal	Kp_step	Pavg	Ravg	f	t_sim
0	0.0	0.0001	3.9861604138372297	52	6.082762530298219	0.0	0		0.10345623122111879	0.6352569350866875	6.680065573542616e-77	2.165406193933589e-10	2.3909933492836447e-09	0.0001	0.1289683241068054	8.45696635835704e-13	4.785837465776197	98.59
100	10.312022611848306	0.5	3.563954482917748	52	6.082762530298219	0.0	0		0.11621818656924811	0.6917829015269148	7.570084029817831e-18	1.3245690954573175e-06	4.894831160567143e-05	0.0001	0.12896832411225614	1.7313064658735407e-08	1.1605731616762849	592.61
200	60.312022611848306	0.5	3.3144103458029672	52	6.082762530298219	0.0	0		0.11958277844694849	0.6727512308093391	1.8364104279701377e-16	1.2236176988878505e-06	4.707903546098899e-05	0.0001	0.12896832413318865	1.6651899897453447e-08	1.1460352013141486	1258.31
300	110.3120226118483	0.5	3.131823399090247	44	6.082762530298219	0.0	0		0.11977217625038392	0.6615338135796959	1.75205207078117e-16	1.1523174789761987e-06	4.523673399951861e-05	0.0001	0.12896832415126636	1.6000276107438516e-08	1.1359009132451199	1911.87
400	160.3120226118483	0.5	2.93791076555643	44	6.082762530298219	0.0	0		0.12011171886716562	0.6465067888641827	1.6662871341535775e-16	1.0815647720410706e-06	4.33843758667258e-05	0.0001	0.1289683241491653	1.5345095263152553e-08	1.1234449418616081	2555.89
500	210.3120226118483	0.5	2.657440275292337	32	6.082762530298219	0.0	0		0.12060253118557393	0.621697839518839	1.563691242888014e-16	1.005003333269788e-06	4.1383065627143246e-05	0.0001	0.12896832414031917	1.463722991614705e-08	1.1058378990280566	3206.48
600	260.3120226118483	0.5	2.2145335626531324	32	6.082762530298219	0.0	0		0.12119470304745336	0.5671047915448776	1.4234533902300204e-16	9.259499590615743e-07	3.9107469202551795e-05	0.0001	0.1289683241298184	1.3832349283010483e-08	1.075010555615275	3863.33
700	310.3120226118483	0.5	0.0	12	6.082762530298219	0.0	0		0.12189257155375627	0.3565250092829476	1.1740230488391685e-16	8.637661848624767e-07	3.643918717109324e-05	0.0001	0.12896832411654952	1.2888575374922684e-08	0.977560141350868	4541.46
800	360.3120226118483	0.5	0.0	0	nan	nan	0		0.12276108058366264	0.17472180947792	7.684337487122204e-17	7.617761483736437e-07	3.183270696271132e-05	0.0001	0.12896832410553774	1.1259258916790539e-08	0.840726534084692	5209.25
900	410.3120226118483	0.5	0.0	0	nan	nan	0		0.12395947218137986	0.14900792479387814	6.347647802334251e-17	6.913955754657743e-07	2.9021278423495975e-05	0.0001	0.12896832408324366	1.0264853951917152e-08	0.8006182431123297	5839.27
1000	460.3120226118483	0.5	0.0	0	nan	nan	0		0.12530542816309487	0.14023010906242864	5.911566852823412e-17	6.590671156087695e-07	2.7710848785579362e-05	0.0001	0.12896832407011755	9.801353734897514e-09	0.7851794636678817	6472.11
1100	510.3120226118483	0.5	0.0	0	nan	nan	0		0.12643374938349433	0.13585710970212286	5.702624031192468e-17	6.415022210472071e-07	2.699188089628833e-05	0.0001	0.12896832406439512	9.547054104398963e-09	0.7785887641157291	7109.66
1200	560.3120226118483	0.5	0.0	0	nan	nan	0		0.12725568082281546	0.1333260941638386	5.583907658548071e-17	6.309772174198412e-07	2.65590680936627e-05	0.0001	0.12896832406203704	9.393967801905992e-09	0.775746996789082	7734.26
1300	610.3120226118483	0.5	0.0	0	nan	nan	0		0.12782068818507963	0.13176407258387143	5.511205203532223e-17	6.243804045900082e-07	2.628719116327191e-05	0.0001	0.1289683240609462	9.297804671439019e-09	0.7745277147035093	8345.97
1400	660.3120226118483	0.5	0.0	0	nan	nan	0		0.1281996905377403	0.13077319418139183	5.465222752777159e-17	6.201642201730538e-07	2.6113235574035914e-05	0.0001	0.12896832405986472	9.236276413049771e-09	0.7740072369040303	8960.28
1500	710.3120226118483	0.5	0.0	0	nan	nan	0		0.12845128536286202	0.13013701554977494	5.435729692019235e-17	6.174465314482762e-07	2.6001040191711074e-05	0.0001	0.12896832405815564	9.196592798949863e-09	0.7737858414237122	9563.83
1600	760.3120226118483	0.5	0.0	0	nan	nan	0		0.1286176569510736	0.12972628661532784	5.416693740540923e-17	6.156878884328034e-07	2.5928413242262197e-05	0.0001	0.1289683240553432	9.170904577425397e-09	0.7736918666272702	10162.77
1700	810.3120226118483	0.5	0.0	0	nan	nan	0		0.12872764789849667	0.1294606176393799	5.4043696833932936e-17	6.145476195908486e-07	2.5881314217938346e-05	0.0001	0.12896832405083875	9.15424560744802e-09	0.7736520163097949	10768.04
1800	860.3120226118483	0.5	0.0	0	nan	nan	0		0.1288005353859401	0.1292885147611626	5.3963775998380344e-17	6.138074772583835e-07	2.5850739024157193e-05	0.0001	0.12896832404402428	9.143431132146993e-09	0.7736351145823467	11358.79
1900	910.3120226118483	0.5	0.0	0	nan	nan	0		0.12884906044984396	0.12917684673472316	5.3911902888435966e-17	6.133267136501747e-07	2.583087750547798e-05	0.0001	0.12896832403424147	9.13640609398257e-09	0.7736279338067322	11927.35
2000	960.3120226118483	0.5	0.0	0	nan	nan	0		0.1288815883371091	0.12910449199510857	5.3878207388183745e-17	6.130142625871531e-07	2.581796904904407e-05	0.0001	0.12896832402221034	9.131840360588431e-09	0.7736248702685875	12496.72
2100	1010.3120226118483	0.5	0.0	0	nan	nan	0		0.12890360990882296	0.12905765637612363	5.385631531290049e-17	6.128110994396376e-07	2.5809575679050087e-05	0.0001	0.12896832400678038	9.128871617589057e-09	0.7736235519456339	13055.59
