step	t	dt	radius	area	distances	eccentricity	vacuole_num	vacuole_areas	Pmin	Pmax	Rmin	Rmax	Rtotal	Kp_step	Pavg	Ravg	f	t_sim
0	0.0	0.0001	3.9861604138372297	52	1.4142135623730951	0.0	0		0.10248781729797894	0.6353668748785254	1.3389670894271554e-55	2.496506467509056e-06	5.599295626524458e-05	1.0	0.12901616557260404	1.9804762216590978e-08	4.808497519435213	79.4
100	10.312022611848306	0.5	3.604999457773141	52	1.4142135623730951	0.0	0		0.11476835472137444	0.7039966303711231	5.768023979469285e-12	0.031123171457488562	1.0847738654623746	1.0	0.12901616557295628	0.00038368555434873037	0.8691354048521547	729.62
200	60.312022611848306	0.5	3.598191143000816	52	1.4142135623730951	0.0	0		0.11777934770627133	0.6990967561985602	6.04919761434585e-11	0.03082038133532725	1.0761728742660475	1.0	0.1290161655767715	0.0003806433755313925	0.8673165630906386	1584.98
300	110.3120226118483	0.5	3.6253476878116504	52	1.4142135623730951	0.0	0		0.11799154238955264	0.7000340601121318	6.103306877460965e-11	0.030917150202930677	1.0828072226478058	1.0	0.1290161655896767	0.00038298995090312916	0.8652871904755723	2478.8
400	160.3120226118483	0.5	3.665705306201067	52	1.4142135623730951	0.0	0		0.11792557888567665	0.7011652910180487	6.166084399892972e-11	0.031030341179663162	1.090441342450085	1.0	0.12901616560432247	0.0003856901463830908	0.8631232176137644	3303.48
500	210.3120226118483	0.5	3.7056234194118325	52	1.4142135623730951	0.0	0		0.11778774137539824	0.7023021196805895	6.230266508927603e-11	0.031144799446009137	1.0982427961685448	1.0	0.1290161656185768	0.00038844952802934515	0.8609118600134599	4232.49
600	260.3120226118483	0.5	3.7451160810840842	56	1.4142135623730951	2.3529775929995038e-05	0		0.11762482154077679	0.703401443273729	6.293969306259038e-11	0.03125673344084219	1.1059824791782416	1.0	0.12901616563248566	0.0003911870613167951	0.8586873348358672	5060.1
700	310.3120226118483	0.5	3.771214766726399	60	1.4142135623730951	0.0	0		0.1174547040480527	0.7044487956873409	6.356493751760423e-11	0.03136473743441295	1.1135667605633397	1.0	0.12901616564639767	0.0003938696289009042	0.8564693546851674	5953.91
800	360.3120226118483	0.5	3.829286502541491	60	1.4142135623730951	0.0	0		0.11728414504761699	0.7054396267307204	6.417560919381406e-11	0.03146825693685167	1.1209515786278812	1.0	0.12901616566047458	0.0003964816461176449	0.8542711748448583	6776.85
900	410.3120226118483	0.5	3.854815361961155	60	1.4142135623730951	0.0	0		0.11711590695091659	0.706373387571251	6.477050491146046e-11	0.031567091375801645	1.128113840662865	1.0	0.12901616567474727	0.0003990149450537438	0.8521028575094745	7581.88
1000	460.3120226118483	0.5	3.8864906303932436	60	1.4142135623730951	0.0	0		0.11695153706794688	0.70725125306735	6.534902280645707e-11	0.031661201547452715	1.1350403072792887	1.0	0.12901616568919186	0.0004014648429246403	0.8499726416730464	8326.42
1100	510.3120226118483	0.5	3.917909820963241	60	1.4142135623730951	0.0	0		0.11679163272159308	0.7080751896086438	6.591079882432255e-11	0.03175063081313848	1.1417230914007868	1.0	0.12901616570376065	0.00040382855006387613	0.8478874925651512	9154.19
1200	560.3120226118483	0.5	3.9490790458627996	60	1.4142135623730951	0.0	0		0.11663580304947561	0.7088475480136504	6.645558025205666e-11	0.031835470611239425	1.1481577416247783	1.0	0.12901616571840224	0.0004061044920060984	0.845853320970839	9961.66
1300	610.3120226118483	0.5	3.9800041778574418	64	1.4142135623730951	3.270667962477664e-05	0		0.11648445793316511	0.7095708667993088	6.698318665326047e-11	0.03191584350985779	1.1543423359300435	1.0	0.129016165733067	0.0004082919889305623	0.8438750812829291	10687.75
1400	660.3120226118483	0.5	4.010690863310959	68	1.4142135623730951	0.0	0		0.11633781626686511	0.7102477639984293	6.749350076016667e-11	0.031991893448003156	1.1602769722684587	1.0	0.12901616574770505	0.00041039107548294	0.8419568316862337	11498.1
1500	710.3120226118483	0.5	4.035072187352727	68	1.4142135623730951	0.0	0		0.11619539768719392	0.7108808699306222	6.79864612290383e-11	0.03206377917374145	1.165963420069117	1.0	0.129016165763413	0.0004124023775119953	0.8401017874957455	12278.48
1600	760.3120226118483	0.5	4.095390512245947	68	1.4142135623730951	0.0	0		0.11605785951073644	0.711472781754226	6.846207912396907e-11	0.03213166933036378	1.171404843951368	1.0	0.1290161657799459	0.0004143270143466209	0.8383123774058275	13087.76
1700	810.3120226118483	0.5	4.1073478822646665	68	1.4142135623730951	0.0	0		0.11592462237187098	0.7120260315920426	6.892044055745443e-11	0.03219573856853171	1.1766055662584392	1.0	0.12901616579631972	0.0004161665148037524	0.8365903048302931	13877.02
1800	860.3120226118483	0.5	4.131158794125909	68	1.4142135623730951	0.0	0		0.11579623532261593	0.7125430640972333	6.936166464481396e-11	0.03225616440861669	1.1815708574158967	1.0	0.12901616581248943	0.0004179227430379566	0.8349366132032575	14570.81
1900	910.3120226118483	0.5	4.184237957364374	68	1.4142135623730951	0.0	0		0.1156719379587257	0.7130262211560361	6.978593807505637e-11	0.03231312470866518	1.1863067493046722	1.0	0.12901616582843436	0.00041959783253129175	0.8333517533554966	15262.78
2000	960.3120226118483	0.5	4.195942142381456	70	1.4142135623730951	0.0018721844178006782	0		0.1155517382710224	0.7134777320952027	7.019349892606337e-11	0.0323667956414078	1.1908198699186692	1.0	0.12901616584620673	0.0004211941276115442	0.8318356513158972	15968.03
2100	1010.3120226118483	0.5	4.201782009017557	73	1.4142135623730951	0.00015163615851469767	0		0.11543596366847665	0.7138997081525581	7.05846313343312e-11	0.03241735010292557	1.1951172979889682	1.0	0.12901616586362216	0.00042271413203267183	0.8303877745792367	16721.41
2200	1060.3120226118483	0.5	4.230860432190153	76	1.4142135623730951	0.0	0		0.11532457819446558	0.7142941403009901	7.095965987882864e-11	0.03246495649105176	1.1992064364030237	1.0	0.12901616588064976	0.00042416046420305173	0.829007196263175	17426.37
2300	1110.3120226118483	0.5	4.248211949040053	76	1.4142135623730951	0.0	0		0.11521715759433376	0.7146628995439512	7.131894391133653e-11	0.03250977779036908	1.2030949028729325	1.0	0.12901616589726492	0.00042553581851474274	0.8276926555263922	18091.75
2400	1160.3120226118483	0.5	4.26549288258051	76	1.4142135623730951	0.0	0		0.11511368031961623	0.7150077391226054	7.166287202134212e-11	0.0325519709171524	1.2067904365797717	1.0	0.1290161659141536	0.0004268429323234983	0.826442613937094	18649.69
2500	1210.3120226118483	0.5	4.282704087204279	76	1.4142135623730951	0.0	0		0.11501418684813897	0.7153302980548449	7.199185675039715e-11	0.03259168627586025	1.2103008191482654	1.0	0.129016165931922	0.00042808455799743045	0.8252553072551797	19261.82
2600	1260.3120226118483	0.5	4.30554533770914	76	1.4142135623730951	0.0	0		0.11491838153070193	0.7156321056854861	7.230632964857491e-11	0.03262906749233977	1.2136338086341405	1.0	0.12901616594916623	0.00042926343956827407	0.8241287923978065	19742.75
2700	1310.3120226118483	0.5	4.32826605132978	76	1.4142135623730951	0.0	0		0.11482641213588789	0.7159145868196704	7.260673670746551e-11	0.03266425128511754	1.216797084842991	1.0	0.12901616596639667	0.0004303822933906176	0.8230609897914982	20183.21
2800	1360.3120226118483	0.5	4.350868116517184	76	1.4142135623730951	0.0	0		0.11473808552069932	0.7161790672237411	7.289194886721549e-11	0.0326973674479306	1.2197982047043894	1.0	0.12901616598452045	0.0004314437923576828	0.82204972081419	20633.09
2900	1410.3120226118483	0.5	4.384552759586924	76	1.4142135623730951	0.0	0		0.11465330114373198	0.7164267793629794	7.316314976822482e-11	0.0327285389223388	1.2226445665393797	1.0	0.12901616600203655	0.00043245055326270314	0.821092740615197	21099.65
3000	1460.3120226118483	0.5	4.395723612763101	77	1.4142135623730951	0.0002369532995263795	0		0.11457174738067555	0.7166588681226761	7.342190863263883e-11	0.03275788193536142	1.225343381837491	1.0	0.129016166018947	0.0004334051268164266	0.8201877668303562	21510.52
3100	1510.3120226118483	0.5	4.4179805834831365	77	1.4142135623730951	0.0002369532995263795	0		0.1144935207764437	0.7168763964791288	7.366866444376927e-11	0.03278550618852063	1.227901653603849	1.0	0.12901616603602206	0.00043430998998846785	0.8193325041110758	21928.89
3200	1560.3120226118483	0.5	4.434600004882157	79	1.4142135623730951	0.00022988504984092125	0		0.1144185669255594	0.7170803509790421	7.390384178623222e-11	0.03281151508213635	1.2303261601717943	1.0	0.12901616605369567	0.0004351675402818165	0.8185246649357285	22341.41
3300	1610.3120226118483	0.5	4.445645102952539	80	1.4142135623730951	0.0	0		0.11434676348602843	0.7172716470816362	7.412791222606e-11	0.032836005968312064	1.232623444234444	1.0	0.12901616607070346	0.00043598009185328944	0.8177619869792025	22741.96
3400	1660.3120226118483	0.5	4.4566628276816145	80	1.4142135623730951	0.0	0		0.11427785855566759	0.7174511341826776	7.434129466609716e-11	0.0328590704172865	1.2347998049996292	1.0	0.12901616608705757	0.000436749872738725	0.817042247629052	23139.32
3500	1710.3120226118483	0.5	4.4731385320409185	80	1.4142135623730951	0.0	0		0.1142119186585208	0.7176196004023692	7.454441895203699e-11	0.03288079449424141	1.2368612944562734	1.0	0.1290161661027675	0.00043747902353239706	0.8163632755860478	23449.67
3600	1760.3120226118483	0.5	4.49501220053603	80	1.4142135623730951	0.0	0		0.11414870629089859	0.7177777770950946	7.473770766540662e-11	0.03290125903985108	1.2388137160281663	1.0	0.1290161661194995	0.00043816959691085394	0.8157229601630546	23731.76
3700	1810.3120226118483	0.5	4.505909215811874	80	1.4142135623730951	0.0	0		0.11408825740798291	0.7179263430369486	7.492157476453768e-11	0.03292053994816627	1.240662625505641	1.0	0.1290161661357601	0.00043882355796245355	0.8151192582863371	24018.6
3800	1860.3120226118483	0.5	4.5113478529359154	80	1.4142135623730951	0.0	0		0.11403040024763761	0.718065928410148	7.509642449734185e-11	0.0329387084436478	1.2424133339283465	1.0	0.12901616615133665	0.00043944278520700224	0.8145501999043546	24305.41
3900	1910.3120226118483	0.5	4.516779941448861	80	1.4142135623730951	0.0	0		0.11397510886466701	0.7181971184365727	7.52626505374264e-11	0.032955831347668586	1.2440709117920807	1.0	0.12901616616624645	0.00044002907208371637	0.8140138916789771	24597.48
4000	1960.3120226118483	0.5	4.52220550488368	80	1.4142135623730951	0.0	0		0.11392214155667599	0.7183204567941661	7.542063531804042e-11	0.032971971338352356	1.2456401944902398	1.0	0.12901616618204995	0.00044058412887586766	0.8135085193785377	24890.48
4100	2010.3120226118483	0.5	4.538443278897404	80	1.4142135623730951	0.0	0		0.11387154144574232	0.7184364487343585	7.557074953419207e-11	0.03298718719816279	1.2471257885709677	1.0	0.12901616619754294	0.000441109584923943	0.8130323489854199	25192.52
4200	2060.312022611848	0.5	4.549236262714821	80	1.4142135623730951	0.0	0		0.11382317628867145	0.7185455640506396	7.57133517971024e-11	0.03300153405449491	1.2485320788044922	1.0	0.12901616621252956	0.00044160699112536823	0.8125837270507477	25473.98
4300	2110.312022611848	0.5	4.560003700892878	80	1.4142135623730951	0.0	0		0.11377699806132667	0.7186482397199363	7.584878841661005e-11	0.03301506360433016	1.2498632355605979	1.0	0.12901616622876416	0.0004420778225439273	0.8121610802100957	25772.43
4400	2160.312022611848	0.5	4.565377896871003	80	1.4142135623730951	0.0	0		0.11373286467666198	0.7187448824074825	7.597739328325077e-11	0.033027824329566025	1.2511232225947964	1.0	0.12901616624423293	0.00044252348116373804	0.8117629138609387	26090.69
4500	2210.312022611848	0.5	4.565377896871003	80	1.4142135623730951	0.0	0		0.11369073116378631	0.7188358707575065	7.609948785416327e-11	0.03303986170106323	1.2523158050667695	1.0	0.12901616625896667	0.00044294529872538306	0.8113878106350734	26394.54
4600	2260.312022611848	0.5	4.570745773976805	80	1.4142135623730951	0.0	0		0.11365047638512041	0.7189215574984097	7.621536856094975e-11	0.03305121836924941	1.2534445574906525	1.0	0.12901616627464435	0.00044334453953793286	0.811034428316081	26725.23
4700	2310.312022611848	0.5	4.581462660345365	80	1.4142135623730951	0.0	0		0.11361207586896593	0.7190022713570294	7.632535817696204e-11	0.03306193434546084	1.2545128720990086	1.0	0.12901616628984444	0.0004437224034372915	0.8107014973006864	27036.12
4800	2360.312022611848	0.5	4.581462660345365	81	1.4142135623730951	0.0005986420388941929	0		0.11357542604206791	0.7190783188971824	7.642972812834405e-11	0.03307204717054524	1.2555239664352098	1.0	0.1290161663060779	0.0004440800284716288	0.810387818163766	27357.41
4900	2410.312022611848	0.5	4.586811713730291	82	1.4142135623730951	0.0028565740002738783	0		0.11354050582873139	0.7191499861055363	7.652875131503472e-11	0.033081592073250544	1.2564808914793943	1.0	0.12901616632158244	0.0004444184937755396	0.8100922587049247	27673.51
5000	2460.312022611848	0.5	4.597491150114047	83	1.4142135623730951	0.0005057727390038541	0		0.11350712580473993	0.7192175399617143	7.662268904251421e-11	0.03309060212116026	1.2573865393786585	1.0	0.12901616633669297	0.0004447388223042194	0.8098137512025493	28001.36
5100	2510.312022611848	0.5	4.608145836830461	84	1.4142135623730951	5.9114964047851065e-06	0		0.1134753142289629	0.7192812297818341	7.671179131039636e-11	0.033099108357759935	1.258243650884343	1.0	0.12901616635251617	0.0004450419834640406	0.8095512894604576	28314.4
5200	2560.312022611848	0.5	4.608145836830461	85	1.4142135623730951	0.0005203941302498079	0		0.11344500421811164	0.719341288534809	7.679629711587801e-11	0.03310713993410753	1.2590548227077207	1.0	0.12901616636754487	0.0004453288957142653	0.809303925762281	28621.95
5300	2610.312022611848	0.5	4.608145836830461	86	1.4142135623730951	0.0025527893972819814	0		0.11341609486812038	0.7193979340164878	7.687643478487311e-11	0.0331147242304998	1.2598225145812874	1.0	0.1290161663825727	0.00044560042906463125	0.8090707680729169	28945.69
5400	2660.312022611848	0.5	4.613463952663958	86	1.4142135623730951	0.0025527893972819814	0		0.1133885384007863	0.7194513699141086	7.695242230941124e-11	0.033121886968934075	1.2605490560140231	1.0	0.12901616639785696	0.00044585740746469406	0.8088509770898589	29264.97
5500	2710.312022611848	0.5	4.618775945198806	88	1.4142135623730951	0.0	0		0.11336228641338736	0.7195017868434588	7.702446768974203e-11	0.03312865232091833	1.2612366529067554	1.0	0.12901616641236321	0.0004461006111436876	0.8086437633922849	29593.09
5600	2760.312022611848	0.5	4.624081835460385	88	1.4142135623730951	0.0	0		0.11333727888759663	0.7195493632572916	7.709276928984991e-11	0.03313504300586332	1.2618873938053612	1.0	0.12901616642654237	0.00044633077882228714	0.8084483847802921	29905.77
5700	2810.312022611848	0.5	4.6293816444627405	88	1.4142135623730951	0.0	0		0.11331345385828416	0.7195942662838309	7.715751618995155e-11	0.03314108038288242	1.2625032558890696	1.0	0.12901616644134073	0.00044654860983067837	0.8082641436083154	30219.07
5800	2860.312022611848	0.5	4.639963102082457	88	1.4142135623730951	0.0	0		0.11329074886875855	0.7196366525372646	7.721888853390679e-11	0.03314678453811102	1.2630861107653373	1.0	0.12901616645537767	0.0004467547661582096	0.8080903841588017	30542.39
5900	2910.312022611848	0.5	4.661053952155653	88	1.4142135623730951	0.0	0		0.11326913730847639	0.7196766688366041	7.727705788316448e-11	0.03315217436502245	1.2636377299552382	1.0	0.12901616646922057	0.0004469498743935802	0.8079264903150752	30855.0
6000	2960.312022611848	0.5	4.671563670022822	88	1.4142135623730951	0.0	0		0.11324855047974171	0.7197144528590262	7.733217811796678e-11	0.03315726763801731	1.264159790003509	1.0	0.1290161664836786	0.00044713452753226805	0.8077718832043582	31167.53
6100	3010.312022611848	0.5	4.671563670022822	88	1.4142135623730951	0.0	0		0.11322895430133513	0.7197501337854444	7.738442404642429e-11	0.0331620810861924	1.2646538778622143	1.0	0.1290161664973849	0.00044730928688073695	0.8076260188767219	31469.39
6200	3060.312022611848	0.5	4.671563670022822	88	1.4142135623730951	0.0	0		0.11321029437833029	0.7197838328648193	7.743393355686453e-11	0.033166630454621863	1.2651214950928966	1.0	0.12901616651192072	0.00044747468354274157	0.8074883863829367	31770.04
6300	3110.312022611848	0.5	4.6768096724199975	88	1.4142135623730951	0.0	0		0.11319254239463573	0.7198156639276737	7.748084726380222e-11	0.03317093056707959	1.2655640626971394	1.0	0.12901616652598275	0.00044763122012790195	0.8073585056047519	32075.0
