x	y	$\phi_{prot}$	$\phi_{RNA}$	(((($\phi_{RNA}$ * _Constant(...)) + _Constant(...)) + ($\phi_{prot}$ * _Constant(...))) + (($\phi_{RNA}$ * _Constant(...)) * $\phi_{prot}$))
-14.4823238126364	-26.0364768110526	0.112894204783742	8.04589709482132e-11	-0.999999999909166
12.4485238307995	26.1866399331088	0.112894162396737	1.00861064373878e-10	-0.999999999886134
27.9879899858197	-7.8523270525919	0.112894189948338	9.75051039803316e-11	-0.999999999889922
-27.1902404469688	7.23819250472651	0.11289405448137	1.61063390651684e-10	-0.999999999818169
-29.0025717591786	0.937918753006065	0.11289415137148	9.95790376530274e-11	-0.999999999887581
-21.6963577179778	-19.6501279620808	0.112894181751549	9.00816697101776e-11	-0.999999999898303
27.0223108437575	-11.3276530091539	0.112894203112368	8.98889245753768e-11	-0.999999999898521
-1.67633884954074	-29.2285286075213	0.112894195291945	9.02335056800479e-11	-0.999999999898132
-28.2354493952988	-6.76155019675128	0.112894153727653	9.92223620733832e-11	-0.999999999887984
-27.24354208342	10.7784125718745	0.112894164995113	9.04304104062776e-11	-0.999999999897909
18.1156950334521	-22.7417069606806	0.112894187859398	9.80398391945572e-11	-0.999999999889319
-0.655196671936783	29.2895178464329	0.112894172424739	9.04538474834651e-11	-0.999999999897883
-26.0866284254418	12.8487115642662	0.112894153062801	9.70949404136438e-11	-0.999999999890385
1.89478526970891	-28.9876184563608	0.112894184080918	9.83830751927237e-11	-0.999999999888931
-9.73751658616838	27.5701740178869	0.112894168123596	9.1103912503319e-11	-0.999999999897149
-16.3395140336132	23.4941017023117	0.112894114643627	1.21108355932196e-10	-0.999999999863276
18.4313133845922	-22.7700871967699	0.112894202070029	9.00715383121745e-11	-0.999999999898314
2.33576642374579	29.1838808466325	0.11289417537023	8.99481173980009e-11	-0.999999999898454
24.6425675727069	-13.7128575906511	0.112894100810992	1.54280160371234e-10	-0.999999999825827
-28.9525579340556	-4.63678628664036	0.112894169061743	8.9931972366799e-11	-0.999999999898472
4.75844991596105	28.6489316397968	0.112894160394447	9.90435178473152e-11	-0.999999999888186
12.9713191529756	-26.0488825720955	0.112894193696266	9.52400607547072e-11	-0.999999999892479
-0.409306255686429	29.1197820566734	0.112894162454489	9.62181888784869e-11	-0.999999999891375
2.24518829192718	-29.0255858542086	0.112894186432008	9.71025840718346e-11	-0.999999999890377
12.8600862776048	-26.3185669085577	0.112894203609913	8.97071979598304e-11	-0.999999999898726
28.7213375346793	5.74172025786361	0.11289420109976	8.95888295586557e-11	-0.999999999898859
-29.4394054152345	2.50428829092882	0.112894178592763	8.41671827409845e-11	-0.99999999990498
-17.4351470631091	23.1762120247082	0.112894149667797	9.97059177149822e-11	-0.999999999887438
28.7388404363796	-5.72570638227972	0.112894205175653	8.90297553587154e-11	-0.999999999899491
-26.9767345856299	10.9276393209313	0.112894153346151	9.70561433899071e-11	-0.999999999890429
-1.92377212729359	-29.0605532455604	0.112894185458053	9.56549903589923e-11	-0.999999999892011
-29.1745195921458	1.20729537664575	0.112894161575084	9.36502400646416e-11	-0.999999999894274
-28.5743817681008	-8.45516450843773	0.112894189318062	8.01673046312354e-11	-0.999999999909496
-29.6589119240384	2.72062186172215	0.112894182409414	8.20672944453143e-11	-0.999999999907351
-28.9151672913031	3.33996100244679	0.112894158003385	9.58187141922443e-11	-0.999999999891826
-25.1708515711071	-14.9652523167277	0.112894178103479	8.95889132388938e-11	-0.999999999898859
